LAMMPS Polymer Data File

125 atoms

2 atom types

0.0 12.0 xlo xhi
0.0 12.0 ylo yhi
0.0 12.0 zlo zhi

Atoms

1 1 3 6.0000 9.000000 6.000000
2 1 3 5.6043 8.951613 6.362494
3 1 4 6.0661 8.903226 5.247063
4 1 3 6.5609 8.854839 6.731619
5 1 4 4.9561 8.806452 5.815348
6 1 4 6.9959 8.758065 5.366506
7 1 3 5.6658 8.709677 7.243355
8 1 4 5.3618 8.661290 4.771105
9 1 3 7.3846 8.612903 6.505646
10 1 3 4.5611 8.564516 6.593962
11 1 4 6.6925 8.516129 4.520269
12 1 3 6.5106 8.467742 7.627752
13 1 4 4.4652 8.419355 5.110553
14 1 4 7.7952 8.370968 5.605330
15 1 3 4.9079 8.322581 7.553375
16 1 4 5.7486 8.274194 4.059685
17 1 3 7.5380 8.225806 7.296250
18 1 3 3.9381 8.177419 6.085267
19 1 4 7.4982 8.129032 4.509123
20 1 3 5.9002 8.080645 8.158923
21 1 4 4.5861 8.032258 4.305662
22 1 3 8.2303 7.983871 6.300083
23 1 3 4.1185 7.935484 7.309114
24 1 4 6.5119 7.887097 3.724728
25 1 3 7.1786 7.838710 8.056734
26 1 4 3.7067 7.790323 5.268359
27 1 4 8.2173 7.741935 4.975573
28 1 3 5.0440 7.693548 8.284289
29 1 4 5.1509 7.645161 3.639379
30 1 3 8.2482 7.596774 7.181568
31 1 3 3.5153 7.548387 6.654949
32 1 4 7.4051 7.500000 3.814688
33 1 3 6.4447 7.451613 8.587485
34 1 4 3.9036 7.403226 4.376420
35 1 4 8.6675 7.354839 5.779003
36 1 3 4.1661 7.306452 7.982408
37 1 4 6.0133 7.258065 3.276565
38 1 3 7.8445 7.209677 8.033322
39 1 4 3.2457 7.161290 5.744731
40 1 4 8.2192 7.112903 4.315733
41 1 3 5.4980 7.064516 8.759491
42 1 4 4.4966 7.016129 3.610993
43 1 3 8.7386 6.967742 6.750548
44 1 3 3.4594 6.919355 7.303815
45 1 4 6.9979 6.870968 3.308245
46 1 3 7.0878 6.822581 8.672097
47 1 4 3.3809 6.774194 4.758740
48 1 4 8.7817 6.725806 5.142381
49 1 3 4.5223 6.677419 8.521416
50 1 4 5.3841 6.629032 3.132067
51 1 3 8.3995 6.580645 7.704488
52 1 3 3.0703 6.532258 6.365128
53 1 4 7.9190 6.483871 3.745422
54 1 3 6.1082 6.435484 8.966252
55 1 4 3.9119 6.387097 3.881077
56 1 3 8.9769 6.338710 6.152212
57 1 3 3.6982 6.290323 7.901899
58 1 4 6.4132 6.241935 3.038456
59 1 3 7.6978 6.193548 8.465756
60 1 4 3.0798 6.145161 5.328074
61 1 4 8.6088 6.096774 4.521943
62 1 3 5.0744 6.048387 8.853225
63 1 4 4.7550 6.000000 3.270521
64 1 3 8.7614 5.951613 7.171517
65 1 3 3.1736 5.903226 7.001052
66 1 4 7.4070 5.854839 3.354374
67 1 3 6.7489 5.806452 8.898555
68 1 4 3.4928 5.758065 4.370521
69 1 4 8.9452 5.709677 5.508618
70 1 3 4.1634 5.661290 8.347772
71 1 4 5.7688 5.612903 3.034073
72 1 3 8.1690 5.564516 8.026265
73 1 4 3.0394 5.516129 5.971114
74 1 4 8.1964 5.467742 4.027013
75 1 3 5.7141 5.419355 8.929352
76 1 4 4.2381 5.370968 3.654820
77 1 3 8.8727 5.322581 6.537103
78 1 3 3.5288 5.274194 7.538313
79 1 4 6.7797 5.225806 3.208462
80 1 3 7.3047 5.177419 8.573161
81 1 4 3.3131 5.129032 4.988947
82 1 4 8.6501 5.080645 4.936210
83 1 3 4.7714 5.032258 8.560082
84 1 4 5.1815 4.983871 3.298593
85 1 3 8.4129 4.935484 7.429949
86 1 3 3.2733 4.887097 6.571620
87 1 4 7.6129 4.838710 3.752772
88 1 3 6.3262 4.790323 8.725850
89 1 4 3.9347 4.741935 4.224636
90 1 4 8.6992 4.693548 5.914748
91 1 3 4.0844 4.645161 7.869449
92 1 4 6.1483 4.596774 3.352556
93 1 3 7.6624 4.548387 8.032069
94 1 4 3.4286 4.500000 5.628449
95 1 4 8.1234 4.451613 4.553106
96 1 3 5.4184 4.403226 8.472263
97 1 4 4.7740 4.354839 3.811292
98 1 3 8.3517 4.306452 6.775605
99 1 3 3.7729 4.258065 7.002746
100 1 4 6.9510 4.209677 3.788570
101 1 3 6.7805 4.161290 8.238298
102 1 4 3.9463 4.112903 4.894928
103 1 4 8.2220 4.064516 5.437408
104 1 3 4.7645 4.016129 7.880899
105 1 4 5.6475 3.967742 3.821551
106 1 3 7.6957 3.919355 7.339936
107 1 3 3.8920 3.870968 6.153949
108 1 4 7.4161 3.822581 4.498857
109 1 3 5.9706 3.774194 8.011198
110 1 4 4.6996 3.725806 4.538123
111 1 3 7.8889 3.677419 6.193672
112 1 3 4.5251 3.629032 7.096888
113 1 4 6.3345 3.580645 4.257925
114 1 3 6.8945 3.532258 7.452646
115 1 4 4.4287 3.483871 5.552831
116 1 4 7.3918 3.435484 5.302808
117 1 3 5.4741 3.387097 7.377031
118 1 4 5.4904 3.338710 4.712417
119 1 3 7.1580 3.290323 6.562708
120 1 3 4.8688 3.241935 6.336722
121 1 4 6.5449 3.193548 5.090660
122 1 3 6.1848 3.145161 6.903196
123 1 4 5.3881 3.096774 5.556297
124 1 4 6.5331 3.048387 5.938832
125 1 3 6.0000 3.000000 6.000000
